isin,symbol,name,quantity,cost,price,nav,gain,percent,exchange
INE101D01020,GRANULES,GRANULES INDIA LIMITED,4720.0,96.4095,418.65,1976028.0,1520975.16,3.34,NSE
INE736A01011,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,2493.0,285.3308,487.6,1215586.8,504257.12,0.71,NSE
INE873D01024,INDOCO,INDOCO REMEDIES LIMITED,2560.0,206.9305,274.75,703360.0,173617.92,0.33,NSE
INE096B01018,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LIMITED,899.0,382.5339,572.8,514947.2,171049.22,0.5,NSE
INE933K01021,BAJAJCON,BAJAJ CONSUMER CARE LIMITED,2486.0,293.4608,190.15,472712.9,-256830.65,-0.35,NSE
INE040D01038,MAYURUNIQ,MAYUR UNIQUOTERS LIMITED,1528.0,223.4871,277.75,424402.0,82913.71,0.24,NSE
INE545H01011,TIIL,TECHNOCRAFT INDUSTRIES (INDIA) LIMITED,995.0,452.7894,301.65,300141.75,-150383.7,-0.33,NSE
INE201K01015,EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,560.0,481.1696,471.8,264208.0,-5246.98,-0.02,NSE
INE266D01021,GRAUWEIL,GRAUER & WEIL (INDIA) LIMITED,8086.0,47.9077,39.15,316566.9,-70814.76,-0.18,NSE
INE043D01016,IDFC,IDFC LIMITED,9326.0,55.3156,41.0,382366.0,-133507.29,-0.26,NSE
INE089A01023,DRREDDY,DR. REDDY'S LABORATORIES LIMITED,54.0,2173.549,4915.5,265437.0,148065.35,1.26,NSE
INE900B01029,KABRAEXTRU,KABRA EXTRUSION TECHNIK LIMITED,3318.0,116.6984,78.0,258804.0,-128401.29,-0.33,NSE
INE163A01018,NOCIL,NOCIL LIMITED,1821.0,88.96769999999998,139.1,253301.1,91290.92,0.56,NSE
INE989A01024,SANGHVIMOV,SANGHVI MOVERS LIMITED,3235.0,172.0223,96.5,312177.5,-244314.64,-0.44,NSE
INE212I01016,SPAL,S. P. APPARELS LIMITED,1891.0,275.522,138.1,261147.1,-259865.0,-0.5,NSE
INE303A01010,DICIND,DIC INDIA LIMITED,635.0,521.4401,372.9,236791.5,-94322.96,-0.28,NSE
INE199G01027,JAGRAN,JAGRAN PRAKASHAN LIMITED,5836.0,68.2846,39.65,231397.4,-167111.53,-0.42,NSE
INE038F01029,TVTODAY,TV TODAY NETWORK LIMITED,1032.0,247.9725,208.9,215584.8,-40322.82,-0.16,NSE
INE752H01013,CARERATING,CARE RATINGS LIMITED,683.0,1054.3706,440.6,300929.8,-419205.32,-0.58,NSE
INE950M01013,MONTECARLO,MONTE CARLO FASHIONS LIMITED,1005.0,383.7909,222.4,223512.0,-162197.85,-0.42,NSE
INE247M01014,SPECIALITY,SPECIALITY RESTAURANTS LIMITED,4804.0,65.4426,35.5,170542.0,-143844.25,-0.46,NSE
INE291D01011,KDDL,KDDL LIMITED,1023.0,195.05720000000002,176.25,180303.75,-19239.77,-0.1,NSE
INE988K01017,EQUITAS,EQUITAS HOLDINGS LIMITED,3193.0,152.4844,67.9,216804.7,-270077.99,-0.55,NSE
INE562A01011,INDIANB,INDIAN BANK,2422.0,206.4211,65.2,157914.4,-342037.5,-0.68,NSE
INE871K01015,HMVL,HINDUSTAN MEDIA VENTURES LIMITED,2463.0,222.2419,57.0,140391.0,-406990.8,-0.74,NSE
INE611L01021,INDTERRAIN,INDIAN TERRAIN FASHIONS LIMITED,3497.0,162.3609,34.8,121695.6,-446080.47,-0.79,NSE
IN9155A01020,TATAMTRDVR,TATA MOTORS LIMITED,3663.0,212.33,74.1,271428.3,-506336.49,-0.65,NSE
